product_id,generic_name,brand_name,dosage,form,price_inr,stock,prescription_required,is_active,created_at,description
MED0001,Methotrexate,Torrent,1g,Tablet,7978.26,None,Yes,FALSE,05-11-2024,Methotrexate is commonly used in the management of certain cancers and immune-related conditions.
MED0002,Prednisolone,Cipla,100mg,Syrup,121.14,136,Yes,TRUE,30-04-2024,Prednisolone is commonly used in the management of inflammatory and autoimmune disorders.
MED0003,Linezolid,Torrent,10ml,Syrup,2265.88,599,Yes,TRUE,30-04-2024,Linezolid works by targeting the underlying cause of bacterial infections.
MED0004,Methylprednisolone,Abbott India,50mg,Tablet,397.49,400,Yes,FALSE,12-03-2024,Methylprednisolone plays an important role in treating inflammatory and autoimmune disorders.
MED0005,Domperidone,Lupin,50mg,Cream,538.11,237,Yes,TRUE,23-09-2024,Domperidone is widely prescribed for controlling acid reflux and gastric disorders.
MED0006,Risperidone,Cipla,650mg,Syrup,519.36,245,Yes,TRUE,31-03-2024,"Risperidone is effective in preventing complications related to anxiety, depression, and mood disorders."
MED0007,Cyclosporine,Zydus,500mg,Injection,60.54,810,Yes,FALSE,20-07-2024,Cyclosporine is commonly used in the management of inflammatory and autoimmune disorders.
MED0008,Ibuprofen,Sun Pharma,650mg,Cream,540.95,579,No,TRUE,01-11-2024,Ibuprofen plays an important role in treating pain and fever.
MED0009,Rabeprazole,Abbott India,1g,Inhaler,171.8,91,Yes,TRUE,01-03-2024,Rabeprazole is effective in preventing complications related to acid reflux and gastric disorders.
MED0010,Olanzapine,Torrent,500mg,Tablet,490.31,724,Yes,TRUE,25-01-2024,"Olanzapine is administered in moderate to severe cases of anxiety, depression, and mood disorders."
MED0011,Budesonide,Lupin,50mg,Capsule,175.78,633,Yes,TRUE,31-03-2024,Budesonide is effective in preventing complications related to asthma and allergic airway conditions.
MED0012,Metformin,Lupin,5ml,Cream,161.89,793,Yes,TRUE,03-03-2024,Metformin is effective in preventing complications related to type 2 diabetes and blood glucose control.
MED0013,Insulin Glargine,Cipla,250mg,Tablet,228.53,1093,Yes,TRUE,17-12-2024,Insulin Glargine works by targeting the underlying cause of type 2 diabetes and blood glucose control.
MED0014,Cyclosporine,Zydus,1g,Injection,134.44,691,Yes,TRUE,11-01-2024,Cyclosporine is commonly used in the management of inflammatory and autoimmune disorders.
MED0015,Aspirin,Dr Reddy's,1g,Cream,239.11,1199,No,FALSE,22-03-2024,Aspirin is administered in moderate to severe cases of pain and fever.
MED0016,Cyclophosphamide,Dr Reddy's,200mg,Injection,2520.18,424,Yes,FALSE,28-01-2024,Cyclophosphamide is indicated for patients suffering from certain cancers and immune-related conditions.
MED0017,Insulin Glargine,Alkem,50mg,Cream,586.6,31,Yes,FALSE,27-04-2024,Insulin Glargine is indicated for patients suffering from type 2 diabetes and blood glucose control.
MED0018,Levofloxacin,Alkem,500mg,Tablet,333.45,1170,Yes,TRUE,25-03-2024,Levofloxacin is widely prescribed for controlling bacterial infections.
MED0019,Clindamycin,Alkem,5ml,Capsule,216.5,386,Yes,FALSE,03-01-2024,Clindamycin plays an important role in treating bacterial infections.
MED0020,Aspirin,Mankind,50mg,Cream,153.93,922,No,FALSE,08-11-2024,Aspirin supports long‑term treatment of pain and fever.
MED0021,Dexamethasone,Sun Pharma,250mg,Injection,264.35,509,Yes,TRUE,20-07-2024,Dexamethasone helps in reducing symptoms associated with inflammatory and autoimmune disorders.
